size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
45,par,0.005722,2094950798,2094950702,6,14.7227
45,par,0.006260,2094950621,2094950760,7,14.8359
45,par,0.009728,2094950629,2094950771,8,16.7969
45,par,0.006334,2094950346,2094950711,9,12.8633
45,par,0.007162,2094950808,2094950761,10,16.9336
45,built,0.000004,2094950698,2094950896,0,1.79297
45,seq,0.000002,2094950639,2094951029,0,1.85547
45,par,0.000364,2094950848,2094950964,1,2.72656
45,par,0.000876,2094950729,2094950994,2,2.74609
45,par,0.002635,2094950538,2094950617,3,2.89844
45,par,0.003289,2094950330,2094950756,4,8.78516
45,par,0.004733,2094950670,2094950814,5,10.7305
45,par,0.005792,2094950814,2094950733,6,12.8555
45,par,0.006030,2094950390,2094947502,7,8.90234
45,par,0.009159,2094950763,2094950690,8,16.8047
45,par,0.006248,2094950732,2094950324,9,14.7344
45,par,0.010660,2094949334,2094949404,10,20.7266
45,built,0.000004,2094950671,2094950904,0,1.69141
45,seq,0.000002,2094950394,2094950861,0,1.72266
45,par,0.000366,2094950829,2094950915,1,2.85547
45,par,0.001048,2094950746,2094950912,2,2.87109
45,par,0.001951,2094950800,2094950593,3,4.78906
45,par,0.003805,2094950522,2094950692,4,8.72656
45,par,0.004616,2094950712,2094950759,5,10.793
45,par,0.005952,2094950568,2094950707,6,16.875
45,par,0.006270,2094950799,2094950744,7,16.8125
45,par,0.010484,2094950771,2094950777,8,12.9688
45,par,0.007122,2094950675,2094950640,9,8.66016
45,par,0.006844,2094950801,2094950731,10,16.7344
45,built,0.000004,2094950812,2094951062,0,1.74609
45,seq,0.000002,2094950374,2094950853,0,1.80859
45,par,0.000357,2094950823,2094950951,1,1.96875
45,par,0.000527,2094950662,2094950938,2,6.72266
45,par,0.001845,2094950817,2094950850,3,2.80469
45,par,0.002774,2094950638,2094950608,4,8.78516
45,par,0.004266,2094950754,2094950716,5,16.8828
45,par,0.006643,2094950785,2094950753,6,14.7812
45,par,0.008122,2094950616,2094950750,7,8.89062
45,par,0.007706,2094950652,2094950463,8,10.7891
45,par,0.009863,2094950607,2094950665,9,8.83594
